"정본CSV행번호","우선순위","업소명","시도","시군구","소재지도로명주소","할인정보","적용대상","이용조건","인증방법","기존출처유형","기존출처URL","기존최근확인일","재확인기준","검증결과","새출처유형","새출처URL","새최근확인일","제안혜택상태","정본반영여부","검토메모"
"262","P1","7042 카페","경기도","파주시","파주시 법원읍 사임당로770번길 27 1층","10% 할인","파주시 관내 주둔 군 장병 및 사회복무요원","업소별 세부 조건 및 중복할인 여부는 방문 전 확인","군인 또는 사회복무요원 신분 확인자료(방문 전 업소 확인 권장)","지자체 공식 자료","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"263","P1","초리골 제빵소","경기도","파주시","파주시 법원읍 초리골길 77","20%할인","파주시 관내 주둔 군 장병 및 사회복무요원","업소별 세부 조건 및 중복할인 여부는 방문 전 확인","군인 또는 사회복무요원 신분 확인자료(방문 전 업소 확인 권장)","지자체 공식 자료","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"264","P1","커피먹고가세","경기도","파주시","파주시 법원읍 애룡길 179-11 1층","10% 할인","파주시 관내 주둔 군 장병 및 사회복무요원","업소별 세부 조건 및 중복할인 여부는 방문 전 확인","군인 또는 사회복무요원 신분 확인자료(방문 전 업소 확인 권장)","지자체 공식 자료","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"265","P1","테라스커피(애룡커피테라스)","경기도","파주시","파주시 법원읍 애룡길 179 1층","10% 할인","파주시 관내 주둔 군 장병 및 사회복무요원","업소별 세부 조건 및 중복할인 여부는 방문 전 확인","군인 또는 사회복무요원 신분 확인자료(방문 전 업소 확인 권장)","지자체 공식 자료","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"266","P1","맨즈헤어","경기도","부천시","경기도 부천시 원미구중동로248번길86106호(중동, 현해탑프라자)","서비스 이용료의 10% 할인(컷트 한정)","동원훈련이수자,모범예비군,복무중인현역병,사회복무요원,전문산업기능요원,병역명문가","없음 | 혜택기간: 2024-06-04~","동원훈련이수증,모범예비군증,복무확인서 등","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"267","P1","쁘띠뜨메종","경기도","부천시","경기도 부천시 원미구상동로84206호(상동, 영플러스)","서비스 이용료의 10% 할인(컷트 한정)","동원훈련이수자,모범예비군,복무중인현역병,사회복무요원,전문산업기능요원,병역명문가","없음 | 혜택기간: 2024-05-10~","동원훈련이수증,모범예비군증,복무확인서 등","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"268","P1","59쌀피자 (송내남부점)","경기도","부천시","경기도 부천시 소사구송내대로42번길58(송내동)","-라지사이즈 구매시 한판당 천원할인 -단체주문시 할인 또는 음료증정 (부천페이제외)","예비군(당해년도,모범), 복무중인 사람, 병역명문가","없음 | 혜택기간: 2025-01-08~","e병무지갑(훈련확인서,복무확인서,명문가증등)","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"269","P1","경복궁누룽지백숙","경기도","부천시","경기도 부천시 원미구신흥로170- 1(중동)","-서비스 이용료의 5% 할인 (부천페이 중복(추가) 할인 제외)","동원훈련이수자,모범예비군,복무중인현역병,사회복무요원,전문산업기능요원,병역명문가","없음 | 혜택기간: 2024-07-09~","동원훈련이수증,모범예비군증,복무확인서 등","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"270","P1","눈높은 돼지","경기도","부천시","경기도 부천시 소사구송내대로42번길161층 (송내동, 성민빌딩)","* 아래사항 중 하나 서비스제공 1. 소주,맥주 음료중 택1 제공 2. 버섯 한접시 공짜","동원훈련이수자,모범예비군,복무중인현역병,사회복무요원,전문산업기능요원,병역명문가","없음 | 혜택기간: 2024-07-09~","동원훈련이수증,모범예비군증,복무확인서 등","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"271","P1","솔안골먹장어(송내본점)","경기도","부천시","경기도 부천시 소사구송내대로29(송내동)","5,000원 할인","예비군(당해년도,모범), 복무중인 사람, 병역명문가","없음 | 혜택기간: 2024-07-31~9999-09-01","동원훈련이수증,모범예비군증,복무확인서,명문가증","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"272","P1","송내팔방상회","경기도","부천시","경기도 부천시 소사구송내대로42(송내동)","서비스 이용료의 3%할인","예비군(당해년도,모범), 복무중인 사람, 병역명문가","없음 | 혜택기간: 2025-01-08~","동원훈련이수증,모범예비군증,복무확인서,명문가증","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"273","P1","신천차이나","경기도","부천시","경기도 부천시 원미구송내대로265번길73- 46201호(상동)","음료 또는 군만두 서비스","동원훈련이수자,모범예비군,복무중인현역병,사회복무요원,전문산업기능요원,병역명문가","없음 | 혜택기간: 2024-06-11~","동원훈련이수증,모범예비군증,복무확인서 등","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"274","P1","엉터리분식","경기도","부천시","경기도 부천시 원미구부일로445- 45(심곡동)","군복입고오면 1천원 할인","동원훈련이수자,모범예비군,복무중인현역병,사회복무요원,전문산업기능요원,병역명문가","없음 | 혜택기간: 2024-06-11~","동원훈련이수증,모범예비군증,복무확인서 등","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"275","P1","육회바른연어 부천상동역점","경기도","부천시","경기도 부천시 원미구상동로69(상동, 새롬프라자 1층 105호)","서비스 이용료의 10% 할인","복무중인자,모범예비군,동원훈련이수자,명문가","없음 | 혜택기간: 2026-01-27~","명문가증,복무확인서,훈련이수증,모범예비군증","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"276","P1","준스이","경기도","부천시","경기도 부천시 원미구상동로69(상동, 새롬프라자 15차 101호)","서비스 이용료의 10% 할인 - 본인한정, 기타 중복 할인 불가","복무중인자,모범예비군,동원훈련이수자,명문가","없음 | 혜택기간: 2025-10-24~","명문가증,복무확인서,훈련이수증,모범예비군증","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"277","P1","키키포차","경기도","부천시","경기도 부천시 소사구양지로171번길38(옥길동)","서비스 이용료의 10% 할인","동원훈련이수자,모범예비군,복무중인현역병,사회복무요원,전문산업기능요원,병역명문가","없음 | 혜택기간: 2024-04-19~","동원훈련이수증,모범예비군증,복무확인서 등","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"278","P1","통양갈비","경기도","부천시","경기도 부천시 소사구송내대로28(송내동, 106호)","양갈비 주문 시 국수 음료수 무료제공","예비군(당해년도,모범), 복무중인 사람, 병역명문가","없음 | 혜택기간: 2024-07-31~9999-09-09","동원훈련이수증,모범예비군증,복무확인서,명문가증","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"279","P1","청정여수동갈매기살","경기도","성남시","경기도 성남시 분당구장미로100번길222층 (야탑동)","서비스 이용료의 5% 할인","예비군(당해연도 병무청 주관 동원훈련 이수자 및 병무청 모범 예비군 선발자),복무중인 사람,병역명문가","제한없음 | 혜택기간: 2024-08-14~2026-12-31","당해년도 동원훈련이수증, 복무확인서, 병역명문가","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"280","P1","고려이발관","경기도","수원시","경기도 수원시 팔달구 팔달로 135, 1층 (화서동)","입영 시 무료 이발, 입영 후 제대 시까지 이용요금 50% 할인","군 입영예정자 및 복무 중인 장병 본인(수원시민)","수원시민 본인 대상; 방문 전 영업 및 적용 여부 확인","입영통지서 또는 휴가 확인 서류와 신분증","지자체 공식 자료","https://www.suwon.go.kr/webcontent/ckeditor/2026/5/28/4e5d92bd-869b-41d9-8179-cbc3ffba48c7.pdf","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"281","P1","대성이발관","경기도","수원시","경기도 수원시 팔달구 인계로68번길 52, 창조의집 (인계동)","입영 시 무료 이발, 입영 후 제대 시까지 이용요금 50% 할인","군 입영예정자 및 복무 중인 장병 본인(수원시민)","수원시민 본인 대상; 방문 전 영업 및 적용 여부 확인","입영통지서 또는 휴가 확인 서류와 신분증","지자체 공식 자료","https://www.suwon.go.kr/webcontent/ckeditor/2026/5/28/4e5d92bd-869b-41d9-8179-cbc3ffba48c7.pdf","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"282","P1","로이스바버샵&로이스SMP 수원성대점","경기도","수원시","경기도 수원시 장안구 서부로2181번길 55, 3층 일부호 (율전동)","입영 시 무료 이발, 입영 후 제대 시까지 이용요금 50% 할인","군 입영예정자 및 복무 중인 장병 본인(수원시민)","수원시민 본인 대상; 방문 전 영업 및 적용 여부 확인","입영통지서 또는 휴가 확인 서류와 신분증","지자체 공식 자료","https://www.suwon.go.kr/webcontent/ckeditor/2026/5/28/4e5d92bd-869b-41d9-8179-cbc3ffba48c7.pdf","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"283","P1","베스트헤어","경기도","수원시","경기도 수원시 장안구정자로42번길52203호(천천동, 베스트상가)","-커트시 서비스 이용료의 20% 할인 * 현역 10% 추가 할인","동원훈련이수자,모범예비군,복무중인현역병,사회복무요원,전문산업기능요원,병역명문가","없음 | 혜택기간: 2025-11-11~","동원훈련이수증,모범예비군증,복무확인서,명문가증","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"284","P1","부흥이발관","경기도","수원시","경기도 수원시 영통구 동수원로514번길 59 (매탄동)","입영 시 무료 이발, 입영 후 제대 시까지 이용요금 50% 할인","군 입영예정자 및 복무 중인 장병 본인(수원시민)","수원시민 본인 대상; 방문 전 영업 및 적용 여부 확인","입영통지서 또는 휴가 확인 서류와 신분증","지자체 공식 자료","https://www.suwon.go.kr/webcontent/ckeditor/2026/5/28/4e5d92bd-869b-41d9-8179-cbc3ffba48c7.pdf","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"285","P1","새현이용원","경기도","수원시","경기도 수원시 권선구 세권로43번길 26-6 (세류동, 세류종합상가 117호)","입영 시 무료 이발, 입영 후 제대 시까지 이용요금 50% 할인","군 입영예정자 및 복무 중인 장병 본인(수원시민)","수원시민 본인 대상; 방문 전 영업 및 적용 여부 확인","입영통지서 또는 휴가 확인 서류와 신분증","지자체 공식 자료","https://www.suwon.go.kr/webcontent/ckeditor/2026/5/28/4e5d92bd-869b-41d9-8179-cbc3ffba48c7.pdf","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"286","P1","세동이발관","경기도","수원시","경기도 수원시 권선구 세권로 66 (세류동)","입영 시 무료 이발, 입영 후 제대 시까지 이용요금 50% 할인","군 입영예정자 및 복무 중인 장병 본인(수원시민)","수원시민 본인 대상; 방문 전 영업 및 적용 여부 확인","입영통지서 또는 휴가 확인 서류와 신분증","지자체 공식 자료","https://www.suwon.go.kr/webcontent/ckeditor/2026/5/28/4e5d92bd-869b-41d9-8179-cbc3ffba48c7.pdf","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"287","P1","시저스맨","경기도","수원시","경기도 수원시 영통구 매탄로140번길 54-18 (매탄동)","입영 시 무료 이발, 입영 후 제대 시까지 이용요금 50% 할인","군 입영예정자 및 복무 중인 장병 본인(수원시민)","수원시민 본인 대상; 방문 전 영업 및 적용 여부 확인","입영통지서 또는 휴가 확인 서류와 신분증","지자체 공식 자료","https://www.suwon.go.kr/webcontent/ckeditor/2026/5/28/4e5d92bd-869b-41d9-8179-cbc3ffba48c7.pdf","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"288","P1","아름다운사람들 헤어","경기도","수원시","경기도 수원시 장안구송정로83134호(송죽동, 로얄팰리스상가)","- 서비스 이용료의 15% 할인 - 현역병 면제","동원훈련이수자,모범예비군,복무중인현역병,사회복무요원,전문산업기능요원,병역명문가","없음 | 혜택기간: 2026-08-14~","동원훈련이수증,모범예비군증,복무확인서 등","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"289","P1","아엠헤드","경기도","수원시","경기도 수원시 장안구서부로2207번길18(율전동)","서비스 이용료의 30% 할인","동원훈련이수자,모범예비군,복무중인현역병,사회복무요원,전문산업기능요원,병역명문가","없음 | 혜택기간: 2024-08-20~","동원훈련이수증,모범예비군증,복무확인서 등","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"290","P1","아임남자머리","경기도","수원시","경기도 수원시 팔달구 팔달문로175번길 7, 1층 (우만동)","입영 시 무료 이발, 입영 후 제대 시까지 이용요금 50% 할인","군 입영예정자 및 복무 중인 장병 본인(수원시민)","수원시민 본인 대상; 방문 전 영업 및 적용 여부 확인","입영통지서 또는 휴가 확인 서류와 신분증","지자체 공식 자료","https://www.suwon.go.kr/webcontent/ckeditor/2026/5/28/4e5d92bd-869b-41d9-8179-cbc3ffba48c7.pdf","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"291","P1","안양승이용원","경기도","수원시","경기도 수원시 영통구 영통로 323, 3층 (매탄동)","입영 시 무료 이발, 입영 후 제대 시까지 이용요금 50% 할인","군 입영예정자 및 복무 중인 장병 본인(수원시민)","수원시민 본인 대상; 방문 전 영업 및 적용 여부 확인","입영통지서 또는 휴가 확인 서류와 신분증","지자체 공식 자료","https://www.suwon.go.kr/webcontent/ckeditor/2026/5/28/4e5d92bd-869b-41d9-8179-cbc3ffba48c7.pdf","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"292","P1","양성현 헤어아트","경기도","수원시","경기도 수원시 권선구 권광로91번길 55, 오가기린 302호 (권선동)","입영 시 무료 이발, 입영 후 제대 시까지 이용요금 50% 할인","군 입영예정자 및 복무 중인 장병 본인(수원시민)","수원시민 본인 대상; 방문 전 영업 및 적용 여부 확인","입영통지서 또는 휴가 확인 서류와 신분증","지자체 공식 자료","https://www.suwon.go.kr/webcontent/ckeditor/2026/5/28/4e5d92bd-869b-41d9-8179-cbc3ffba48c7.pdf","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"293","P1","엘지이용원","경기도","수원시","경기도 수원시 장안구 파장로68번길 46 (파장동)","입영 시 무료 이발, 입영 후 제대 시까지 이용요금 50% 할인","군 입영예정자 및 복무 중인 장병 본인(수원시민)","수원시민 본인 대상; 방문 전 영업 및 적용 여부 확인","입영통지서 또는 휴가 확인 서류와 신분증","지자체 공식 자료","https://www.suwon.go.kr/webcontent/ckeditor/2026/5/28/4e5d92bd-869b-41d9-8179-cbc3ffba48c7.pdf","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"294","P1","영길이용원","경기도","수원시","경기도 수원시 권선구 고현로5번길 25 (고색동, 거산아파트 상가 113호)","입영 시 무료 이발, 입영 후 제대 시까지 이용요금 50% 할인","군 입영예정자 및 복무 중인 장병 본인(수원시민)","수원시민 본인 대상; 방문 전 영업 및 적용 여부 확인","입영통지서 또는 휴가 확인 서류와 신분증","지자체 공식 자료","https://www.suwon.go.kr/webcontent/ckeditor/2026/5/28/4e5d92bd-869b-41d9-8179-cbc3ffba48c7.pdf","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"295","P1","우리이용원","경기도","수원시","경기도 수원시 장안구 장안로103번길 5 (정자동)","입영 시 무료 이발, 입영 후 제대 시까지 이용요금 50% 할인","군 입영예정자 및 복무 중인 장병 본인(수원시민)","수원시민 본인 대상; 방문 전 영업 및 적용 여부 확인","입영통지서 또는 휴가 확인 서류와 신분증","지자체 공식 자료","https://www.suwon.go.kr/webcontent/ckeditor/2026/5/28/4e5d92bd-869b-41d9-8179-cbc3ffba48c7.pdf","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"296","P1","원천이발관","경기도","수원시","경기도 수원시 영통구 매영로 141, 원천훼밀리타운 2층 202호 (원천동)","입영 시 무료 이발, 입영 후 제대 시까지 이용요금 50% 할인","군 입영예정자 및 복무 중인 장병 본인(수원시민)","수원시민 본인 대상; 방문 전 영업 및 적용 여부 확인","입영통지서 또는 휴가 확인 서류와 신분증","지자체 공식 자료","https://www.suwon.go.kr/webcontent/ckeditor/2026/5/28/4e5d92bd-869b-41d9-8179-cbc3ffba48c7.pdf","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"297","P1","조만억헤어마당","경기도","수원시","경기도 수원시 장안구 송정로177번길 4 (조원동)","입영 시 무료 이발, 입영 후 제대 시까지 이용요금 50% 할인","군 입영예정자 및 복무 중인 장병 본인(수원시민)","수원시민 본인 대상; 방문 전 영업 및 적용 여부 확인","입영통지서 또는 휴가 확인 서류와 신분증","지자체 공식 자료","https://www.suwon.go.kr/webcontent/ckeditor/2026/5/28/4e5d92bd-869b-41d9-8179-cbc3ffba48c7.pdf","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"298","P1","좋은헤어","경기도","수원시","경기도 수원시 권선구 경수대로235번길 56, 1층 (세류동)","입영 시 무료 이발, 입영 후 제대 시까지 이용요금 50% 할인","군 입영예정자 및 복무 중인 장병 본인(수원시민)","수원시민 본인 대상; 방문 전 영업 및 적용 여부 확인","입영통지서 또는 휴가 확인 서류와 신분증","지자체 공식 자료","https://www.suwon.go.kr/webcontent/ckeditor/2026/5/28/4e5d92bd-869b-41d9-8179-cbc3ffba48c7.pdf","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"299","P1","파크이발","경기도","수원시","경기도 수원시 장안구 정자천로189번길 47, 1층 108호 (정자동, 연꽃마을 풍림아파트)","입영 시 무료 이발, 입영 후 제대 시까지 이용요금 50% 할인","군 입영예정자 및 복무 중인 장병 본인(수원시민)","수원시민 본인 대상; 방문 전 영업 및 적용 여부 확인","입영통지서 또는 휴가 확인 서류와 신분증","지자체 공식 자료","https://www.suwon.go.kr/webcontent/ckeditor/2026/5/28/4e5d92bd-869b-41d9-8179-cbc3ffba48c7.pdf","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"300","P1","할리바버샵","경기도","수원시","경기도 수원시 권선구 금곡로 236, 홈플러스 3층 (금곡동)","입영 시 무료 이발, 입영 후 제대 시까지 이용요금 50% 할인","군 입영예정자 및 복무 중인 장병 본인(수원시민)","수원시민 본인 대상; 방문 전 영업 및 적용 여부 확인","입영통지서 또는 휴가 확인 서류와 신분증","지자체 공식 자료","https://www.suwon.go.kr/webcontent/ckeditor/2026/5/28/4e5d92bd-869b-41d9-8179-cbc3ffba48c7.pdf","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"301","P1","버거스테이지","경기도","수원시","경기도 수원시 팔달구신풍로23번길63- 21층 (신풍동)","서비스 이용료의 5% 할인","동원훈련이수자,모범예비군,복무중인현역병,사회복무요원,전문산업기능요원,병역명문가","없음 | 혜택기간: 2024-11-06~","동원훈련이수증,모범예비군증,복무확인서 등","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"302","P1","세컨디포레스트행궁점","경기도","수원시","경기도 수원시 팔달구화서문로46번길121층 (신풍동)","테이블당 에이드 1잔 무료 or 음료 2잔 무료 (네이버예약시 생일,음료 중복 제공)","동원훈련이수자,모범예비군,복무중인현역병,사회복무요원,전문산업기능요원,병역명문가","없음 | 혜택기간: 2024-11-05~","동원훈련이수증,모범예비군증,복무확인서 등","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"303","P1","태리주택(행궁 본점)","경기도","수원시","경기도 수원시 팔달구화서문로31번길8- 12(장안동)","- 서비스이용료의 10% 할인","동원훈련이수자,모범예비군,복무중인현역병,사회복무요원,전문산업기능요원,병역명문가","없음 | 혜택기간: 2026-06-11~","동원훈련이수증,모범예비군증,복무확인서 등","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"304","P1","한제소곱창전골 수원금곡점","경기도","수원시","경기도 수원시 권선구금곡로197번길18- 23(금곡동, 108호, 109호)","서비스이용료의 5% 할인(주류 제외)","동원훈련이수자, 모범예비군, 복무중인 현역병, 사회복무요원, 전문산업기능요원, 병역명문가","없음 | 혜택기간: 2024-02-13~","동원훈련이수증, 모범예비군증, 복무확인서 등","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"305","P1","91커피 행궁점","경기도","수원시","경기도 수원시 팔달구행궁로26번길4(남창동)","* 서비스 이용료의 10% 할인 (아메리카노 테이크아웃 제외) * 국가유공자 : 음료 무료 제공","동원훈련이수자,모범예비군,복무중인현역병,사회복무요원,전문산업기능요원,병역명문가","없음 | 혜택기간: 2026-06-04~","동원훈련이수증,모범예비군증,복무확인서 등","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"306","P1","버터앤츄","경기도","수원시","경기도 수원시 팔달구화서문로45번길91층 (장안동)","- 서비스이용료의 5% 할인","동원훈련이수자,모범예비군,복무중인현역병,사회복무요원,전문산업기능요원,병역명문가","없음 | 혜택기간: 2026-06-04~","동원훈련이수증,모범예비군증,복무확인서 등","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"307","P1","빛오름","경기도","수원시","경기도 수원시 팔달구고화로1171층 (화서동)","서비스이용료의 5%할인(디저트류 한정)","동원훈련이수자,모범예비군,복무중인현역병,사회복무요원,전문산업기능요원,병역명문가","없음 | 혜택기간: 2024-04-12~","동원훈련이수증,모범예비군증,복무확인서 등","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"309","P1","팔팔순대(배곧직영점)","경기도","시흥시","경기도 시흥시서울대학로59- 49(배곧동, 건영테크노밸리 118호)","서비스 이용료의 10%할인 -1만원 이하 식사시: 10%할인 -1만원 이상 식사시: 20%할인","예비군(당해년도,모범), 복무중인 사람, 병역명문가","없음 | 혜택기간: 2024-09-25~","동원훈련이수증,모범예비군증,복무확인서,명문가증","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"310","P1","한제소곱창전골 목감점","경기도","시흥시","경기도 시흥시산현마을길33- 21층 (산현동)","서비스이용료의 5%할인(주류제외)","동원훈련이수자, 모범예비군, 복무중인 현역병, 사회복무요원, 전문산업기능요원, 병역명문가","없음 | 혜택기간: 2024-02-13~","동원훈련이수증, 모범예비군증, 복무확인서 등","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"311","P1","색시국밥 한대점","경기도","안산시","경기도 안산시 상록구성안2길23(사동, 1층)","서비스 이용료의 5% 할인","복무중인자,모범예비군,동원훈련이수자,명문가","없음 | 혜택기간: 2026-07-10~","명문가증,복무확인서,훈련이수증,모범예비군증","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"312","P1","캠핑이너스(주)","경기도","안성시","경기도 안성시원곡면오동길34(원곡면내가천리)","서비스이용료의 5% 할인","동원훈련이수자,모범예비군,복무중인현역병,사회복무요원,전문산업기능요원,병역명문가","없음 | 혜택기간: 2024-09-19~","동원훈련이수증,모범예비군증,복무확인서 등","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"313","P1","금양남성헤어","경기도","안양시","경기도 안양시 동안구인덕원로14- 1(관양동)","서비스 이용료의 10% 할인","동원훈련이수자,모범예비군,복무중인현역병,사회복무요원,전문산업기능요원,병역명문가","없음 | 혜택기간: 2024-08-05~","동원훈련이수증,모범예비군증,복무확인서 등","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
